0	1	ha-an-ni-ša₂	ha-an-ni-ša₂	NOUN	X	Case=Gen	0	ROOT	_	_
1	2	x	x	X	X	_	_	_	_	_
2	3	x	x	X	X	_	_	_	_	_
3	4	x	x	X	X	_	_	_	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	x	x	X	X	_	_	_	_	_
7	9	LU₂}pu-qu-da-a.a	lu₂}pu-qu-da-a.a	PROPN	SN	_	_	_	_	_
8	10	x	x	X	X	_	_	_	_	_
9	11	x	x	X	X	_	_	_	_	_
10	12	x	x	X	X	_	_	_	_	_
11	13	u₃	u₃	X	X	_	_	_	_	_
12	14	TA@v	ta@v	NOUN	N	_	15	obj	_	_
13	15	pa-ni	pa-ni	NOUN	VERB	_	_	_	_	_
14	16	x	x	X	X	_	_	_	_	_
15	17	x	x	X	X	_	_	_	_	_
16	18	x	x	X	X	_	_	_	_	_
17	19	x	x	X	X	_	_	_	_	_
18	20	x	x	X	X	_	_	_	_	_
19	21	x	x	X	X	_	_	_	_	_
20	22	u₂-ma-a	u₂-ma-a	X	X	_	_	_	_	_
21	23	ina	ina	ADP	PRP	_	_	_	_	_
22	25	URU}x+x	uru}x+x	PROPN	SN	Gender=Masc|Number=Sing	_	_	_	_
23	26	x	x	X	X	_	_	_	_	_
24	27	x	x	X	X	_	_	_	_	_
25	28	x	x	X	X	_	_	_	_	_
26	29	x	x	X	X	_	_	_	_	_
27	30	ina	ina	ADP	PRP	_	31	case	_	_
28	31	pa-ni-ku-nu	pa-ni-ku-nu	PROPN	NOUN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
29	32	šu-u₂	šu-u₂	VERB	n|NU|u	Gender=Masc|Mood=Ind|Number=Plur|Person=3|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
30	33	x	x	X	X	_	_	_	_	_
31	34	x	x	X	X	_	_	_	_	_
32	35	x	x	X	X	_	_	_	_	_
33	36	x	x	X	X	_	_	_	_	_
34	37	x	x	X	X	_	_	_	_	_
35	38	u₂-ma-a	u₂-ma-a	X	X	_	_	_	_	_
36	39	an-nu-rig	an-nu-rig	ADV	ADV	_	_	_	_	_
