0	1	bētu	bītu	NOUN	N	Gender=Masc|Number=Sing|Case=Acc	7	obj	_	_
1	2	x	x	X	X	_	_	_	_	_
2	3	imārī	imēru	NOUN	N	Case=Gen|Gender=Masc|Number=Plur|NounStem=Bound	1	nmod	_	_
3	4	eqlu	eqlu	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	3	nmod	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	abtataq	batāqu	VERB	VERB	Gender=Com|Number=Sing|Person=1|Tense=Perf|Mood=Ind|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
7	1	x	x	X	X	_	_	_	_	_
8	2	x	x	X	X	_	_	_	_	_
9	3	x	x	X	X	_	_	_	_	_
10	4	x	x	X	X	_	_	_	_	_
11	5	attannaššina	tadānu	VERB	VERB	Gender=Com|Number=Sing|Person=1|Tense=Perf|Mood=Ind|VerbForm=Fin|VerbStem=G|Ventive=Yes|VerbSuffNum=Plur|VerbSuffPer=3|VerbSuffGen=Fem	0	ROOT	_	_
12	1	x	x	X	X	_	_	_	_	_
13	2	x	x	X	X	_	_	_	_	_
14	3	x	x	X	X	_	_	_	_	_
15	4	zarʾēšina	zēru	NOUN	N	Gender=Masc|Number=Plur|Case=Nom|PossSuffNum=Plur|PossSuffPer=3|PossSuffGen=Fem	8	nsubj	_	_
16	5	memmēni	memēni	DET	DET	Case=Acc|Gender=Masc|Number=Sing	4	det	_	_
17	6	ina	ina	ADP	PRP	_	7	case	_	_
18	7	libbi	libbu	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	8	obl	_	_
19	8	lāšu	laššu	VERB	VERB	_	0	ROOT	_	_
20	1	x	x	X	X	_	_	_	_	_
21	2	x	x	X	X	_	_	_	_	_
22	3	01	01	NUM	NUM	_	4	nummod	_	_
23	4	mē	meʾatu	NUM	NU	_	5	nummod	_	_
24	5	kurummāti	kurummatu	NOUN	N	Gender=Fem|Number=Plur|Case=Acc	11	obj	_	_
25	6	x	x	X	X	_	_	_	_	_
26	7	x	x	X	X	_	_	_	_	_
27	8	x	x	X	X	_	_	_	_	_
28	9	kūm	kūm	ADP	PRP	_	10	case	_	_
29	10	zarʾēšina	zēru	NOUN	N	Gender=Masc|Number=Plur|Case=Nom|PossSuffNum=Plur|PossSuffPer=3|PossSuffGen=Fem	5	nmod	_	_
30	11	ittišia	našû	VERB	VERB	Gender=Masc|Number=Sing|Person=3|Tense=Perf|Mood=Ind|VerbForm=Fin|VerbStem=G|Ventive=Yes	0	ROOT	_	_
31	1	o	o	X	X	_	_	_	_	_
32	2	x	x	X	X	_	_	_	_	_
33	3	x+x	x+x	X	X	_	_	_	_	_
34	4	ina	ina	ADP	PRP	_	5	case	_	_
35	5	Zabban	zabban	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
36	6	x	x	X	X	_	_	_	_	_
37	7	x	x	X	X	_	_	_	_	_
38	8	x	x	X	X	_	_	_	_	_
39	9	ina	ina	ADP	PRP	_	10	case	_	_
40	10	qannu	qannu	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
41	11	x	x	X	X	_	_	_	_	_
42	12	x	x	X	X	_	_	_	_	_
43	13	x	x	X	X	_	_	_	_	_
44	14	x	x	X	X	_	_	_	_	_
45	15	x	x	X	X	_	_	_	_	_
46	16	marʾutu	mārtu	NOUN	NOUN	Gender=Fem|Number=Sing	_	_	_	_
47	17	x	x	X	X	_	_	_	_	_
48	18	x	x	X	X	_	_	_	_	_
49	19	x	x	X	X	_	_	_	_	_
50	20	x	x	X	X	_	_	_	_	_
51	21	x	x	X	X	_	_	_	_	_
52	22	a-ta-na-x	a-ta-na-x	PROPN	PROPN	Gender=Masc|Number=Sing	_	_	_	_
53	23	x	x	X	X	_	_	_	_	_
54	24	x	x	X	X	_	_	_	_	_
55	25	x	x	X	X	_	_	_	_	_
56	26	x	x	X	X	_	_	_	_	_
57	27	x+x	x+x	X	X	_	_	_	_	_
58	28	x+x	x+x	X	X	_	_	_	_	_
59	29	x	x	X	X	_	_	_	_	_
60	30	x	x	X	X	_	_	_	_	_
61	31	x	x	X	X	_	_	_	_	_
62	32	x	x	X	X	_	_	_	_	_
63	33	x	x	X	X	_	_	_	_	_
