0	1	ma-a	ma-a	ADP	X|u	_	0	ROOT	_	_
1	3	LU₂}GAL-E₂-ka	lu₂}gal-e₂-ka	PROPN	u	Gender=Masc	_	_	_	_
2	5	LU₂}GAL-E₂-ka	lu₂}gal-e₂-ka	PROPN	N	_	_	_	_	_
3	6	ina	ina	ADP	PRP	_	7	case	_	_
4	7	E₂-ia	e₂-ia	PROPN	TN	Case=Gen|Gender=Masc|Number=Sing	8	obl	_	_
5	8	ap-ti-qid	ap-ti-qid	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|VerbStem=G	_	_	_	_
6	9	an-ni-u₂	an-ni-u₂	PROPN	DET	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
7	10	ṭe₃-e-mu	ṭe₃-e-mu	ADJ	NOUN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
8	11	ša	ša	ADP	PRP	_	_	_	_	_
9	13	1}aš-šur-re-ṣu-u-a	1}aš-šur-re-ṣu-u-a	ADJ	PN	_	_	_	_	_
10	15	1}DI-mu-EN	1}di-mu-en	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
11	17	LU₂}02-u₂	lu₂}02-u₂	X	X	_	_	_	_	_
12	18	ša	ša	ADP	PRP	_	_	_	_	_
13	20	LU₂}600-E₂.GAL	lu₂}600-e₂.gal	PROPN	NOUN	_	_	_	_	_
14	22	LU₂}600-E₂.GAL	lu₂}600-e₂.gal	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
15	23	ina	ina	ADP	PRP	_	24	case	_	_
16	24	pa-ni-ia	pa-ni-ia	NOUN	NOUN	Gender=Masc|NounBase=Bound|Number=Sing	22	obl	_	_
17	25	it-tal-ka	it-tal-ka	NOUN	NUM	Case=Gen|Gender=Masc|Number=Plur	24	nmod:poss	_	_
18	26	ma-a	ma-a	X	X	_	_	_	_	_
19	28	1}ur-za-an-na	1}ur-za-an-na	VERB	VERB	Mood=Imp|Number=Plur|VerbStem=G	_	_	_	_
20	29	is-sa-ap-ra	is-sa-ap-ra	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Subordinative=Yes|Tense=Pres|VerbForm=Fin|VerbStem=G	28	conj	_	_
21	30	ma-a	ma-a	ADP	DET	_	31	case	_	_
22	31	LUGAL	lugal	NOUN	V	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	_	_	_	_
23	33	KUR}URI-a.a	kur}uri-a.a	PROPN	PN	_	32	conj	_	_
24	34	ina	ina	ADP	PRP	_	_	_	_	_
25	36	KUR}PAB-ir	kur}pab-ir	PROPN	PROPN	_	_	_	_	_
26	37	be₂-et	be₂-et	NOUN	NOUN	Case=Nom|Gender=Masc|Number=Sing	38	obj	_	_
27	38	il-lik-u₂-ni	il-lik-u₂-ni	NUM	NUM	_	36	dep	_	_
28	39	ma-a	ma-a	ADP	X	_	_	_	_	_
29	41	LU₂}e-mu-qe-e-šu₂	lu₂}e-mu-qe-e-šu₂	ADJ	u	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
30	42	de-e-ka	de-e-ka	VERB	N	Gender=Masc|Mood=Ind|Number=Plur|Person=3|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
31	43	ma-a	ma-a	ADP	DET	_	_	_	_	_
32	45	LU₂}EN.NAM	lu₂}en.nam	NOUN	NOUN	_	_	_	_	_
33	46	ša	ša	ADP	PRP	_	_	_	_	_
34	48	URU}u₂-a-si	uru}u₂-a-si	PROPN	X	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
35	49	o	o	X	X	_	_	_	_	_
36	50	de-e-ke	de-e-ke	NOUN	NOUN	_	_	_	_	_
37	51	ma-a	ma-a	X	X	_	_	_	_	_
38	52	qu-di-i-ni	qu-di-i-ni	X	X	_	_	_	_	_
39	53	o	o	X	X	_	_	_	_	_
40	54	ba-ti-iq-tu₂	ba-ti-iq-tu₂	ADP	ADP	_	_	_	_	_
41	55	la-a	la-a	X	X	_	56	advmod	_	_
42	56	ni-har-ra-ṣa	ni-har-ra-ṣa	X	VERB	_	_	_	_	_
43	57	ma-a	ma-a	X	X	_	58	nsubj	_	_
44	58	ki-ma	ki-ma	NOUN	NOUN	Case=Acc|Gender=Masc|NounBase=Free|Number=Sing	_	_	_	_
45	59	ni-ih-ta-ar₂-ṣa	ni-ih-ta-ar₂-ṣa	X	X	_	_	_	_	_
46	60	mi-i-nu	mi-i-nu	NOUN	PRON	Case=Nom|Gender=Masc|Number=Plur	59	appos	_	_
47	61	ša	ša	ADP	PRP	_	62	case	_	_
48	62	ṭe₃-e-mu-ni	ṭe₃-e-mu-ni	NOUN	PROPN	Case=Gen|Gender=Masc|Number=Sing	59	acl	_	_
49	63	ni-ša₂-par-ka	ni-ša₂-par-ka	VERB	VERB	_	_	_	_	_
50	64	u₃	u₃	X	X	_	_	_	_	_
51	65	ma-a	ma-a	ADP	N	_	_	_	_	_
52	67	LU₂}ša₂-BAD-HAL-a-te	lu₂}ša₂-bad-hal-a-te	PROPN	PROPN	_	_	_	_	_
53	68	ša	ša	ADP	PRP	_	69	case	_	_
