0	1	a-bat	a-bat	PROPN	EN	_	3	dep	_	_
1	2	LUGAL	lugal	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|VerbStem=G	1	nsubj	_	_
2	3	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	6	advcl	_	_
3	4	01	01	NUM	NUM	_	5	nummod	_	_
4	5	me	me	PRON	NUM	_	6	obj	_	_
5	6	u₂-ra-si	u₂-ra-si	PROPN	ADJ	Case=Gen|Gender=Masc|Number=Sing	0	ROOT	_	_
6	7	an-nu-rig	an-nu-rig	ADV	ADV	_	8	advmod	_	_
7	8	dul-la-ku-nu	dul-la-ku-nu	NOUN	VERB	Gender=Masc|NounBase=Free|Number=Sing	_	_	_	_
8	9	ina	ina	ADP	PRP	_	_	_	_	_
9	11	URU}BAD₃-{1}MAN-GIN	uru}bad₃-{1}man-gin	PROPN	PROPN	Case=Gen|Gender=Masc|Number=Sing	12	obl	_	_
10	12	tug-dam-me-ra	tug-dam-me-ra	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	_	_	_	_
11	13	x	x	X	X	_	_	_	_	_
12	14	x	x	X	X	_	_	_	_	_
13	15	x	x	X	X	_	_	_	_	_
14	17	NA₄}{d}ALAD.LAMA-MEŠ	na₄}{d}alad.lama-meš	PROPN	PROPN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
15	18	ina	ina	ADP	PRP	_	19	case	_	_
16	19	UGU-hi-ku-nu	ugu-hi-ku-nu	PROPN	PROPN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
17	20	x	x	X	X	_	_	_	_	_
18	21	x	x	X	X	_	_	_	_	_
19	22	ki-i	ki-i	X	X	_	_	_	_	_
20	23	ša	ša	ADP	PRP	_	_	_	_	_
21	24	qa-li-x	qa-li-x	X	X	_	_	_	_	_
22	25	x	x	X	X	_	_	_	_	_
23	26	x	x	X	X	_	_	_	_	_
24	27	at-ta-nu-u-ni	at-ta-nu-u-ni	X	X	_	_	_	_	_
25	28	x	x	X	X	_	_	_	_	_
26	29	x	x	X	X	_	_	_	_	_
27	30	x	x	X	X	_	_	_	_	_
28	31	an-ni-tu₂	an-ni-tu₂	X	ADP	_	_	_	_	_
29	32	ta-x	ta-x	X	X	_	_	_	_	_
30	33	x	x	X	X	_	_	_	_	_
31	34	x	x	X	X	_	_	_	_	_
32	35	x	x	X	X	_	_	_	_	_
33	36	x	x	X	X	_	_	_	_	_
34	37	x+x	x+x	X	X	_	_	_	_	_
35	38	x	x	X	X	_	_	_	_	_
36	39	x	x	X	X	_	_	_	_	_
37	40	x	x	X	X	_	_	_	_	_
38	41	x	x	X	X	_	_	_	_	_
39	43	LU₂}zak-ku-u₂	lu₂}zak-ku-u₂	PROPN	SN	Gender=Masc|Number=Sing	_	_	_	_
40	44	x	x	X	X	_	_	_	_	_
41	45	x	x	X	X	_	_	_	_	_
42	46	x	x	X	X	_	_	_	_	_
43	47	x	x	X	X	_	_	_	_	_
44	48	ta	ta	X	X	_	_	_	_	_
45	49	x	x	X	X	_	_	_	_	_
46	50	nu	nu	X	X	_	_	_	_	_
47	51	x+x	x+x	X	X	_	_	_	_	_
48	52	x	x	X	X	_	_	_	_	_
49	53	x	x	X	X	_	_	_	_	_
50	54	x	x	X	X	_	_	_	_	_
51	55	x	x	X	X	_	_	_	_	_
52	56	x	x	X	X	_	_	_	_	_
53	57	LUGAL	lugal	X	VERB	_	_	_	_	_
54	58	x	x	X	X	_	_	_	_	_
55	59	x	x	X	X	_	_	_	_	_
56	60	x	x	X	X	_	_	_	_	_
57	61	li-kal-ka	li-kal-ka	VERB	VERB	Gender=Masc|Mood=Prec|Number=Plur|Person=3|VerbStem=G	62	advmod:emph	_	_
58	62	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
59	63	EN.NUN	en.nun	ADJ	n	_	_	_	_	_
60	64	ša	ša	ADP	PRP	_	63	dep	_	_
61	65	x	x	X	u	_	_	_	_	_
62	66	KUR-aš-šur{KI	kur-aš-šur{ki	PROPN	u	Gender=Masc	65	nmod:poss	_	SpaceAfter=No
63	68	i-ti-is-sa	i-ti-is-sa	NOUN	V	Gender=Masc|Number=Plur	_	_	_	_
64	69	u₃	u₃	X	X	_	70	cc	_	_
65	70	re-eh-ti	re-eh-ti	NOUN	NOUN	_	_	_	_	_
66	71	o	o	X	X	_	_	_	_	_
