tlemma,slemma,rlemma,tidx,sidx,ridx,tword,sword,rword,pcom,sennum,tnum,Translation,Speaker,Addressee,Sender,Recipient,Document_type,Verb_metaphor_status,Verb_metonymy_status,PP_type,PP_metaphor_status,PP_metonymy_status,Bad_analysis,Notes
arāmu,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s64_63,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s64_58,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s64_57,ītermū,muhhi,ana,http://oracc.org/saao/saa18/P236909,64,64,,,,,,,,,,,,,
šakānu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s67_38,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s67_36,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s67_35,iltakan,pān,ina,http://oracc.org/saao/saa18/P237932,67,67,,,,,,,,,,,,,
sehû,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s66_136,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s66_133,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s66_132,issihu,libbi,ina,http://oracc.org/saao/saa18/P237845,66,66,,,,,,,,,,,,,
pahāru,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s66_36,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s66_35,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s66_34,liphurū,muhhīka,ana,http://oracc.org/saao/saa18/P237845,66,66,,,,,,,,,,,,,
šapāru,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s63_72,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s63_68,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s63_67,altapar,muhhi,ina,http://oracc.org/saao/saa18/P237581,63,63,,,,,,,,,,,,,
qabû,pû,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s64_76,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s64_75,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s64_74,qibi,pîka,ina,http://oracc.org/saao/saa18/P236909,64,64,,,,,,,,,,,,,
mâtu,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s70_201,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s70_200,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s70_199,lumūt,muhhi,ana,http://oracc.org/saao/saa18/P238016,70,70,,,,,,,,,,,,,
qabû,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s64_42,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s64_38,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s64_37,iqtabi,pān,ina,http://oracc.org/saao/saa18/P236909,64,64,,,,,,,,,,,,,
izuzzu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s64_67,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s64_65,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s64_64,ultezzizīšu,pān,ina,http://oracc.org/saao/saa18/P236909,64,64,,,,,,,,,,,,,
aṣû,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s70_127,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s70_122,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s70_121,uṣṣā,muhhi,ana,http://oracc.org/saao/saa18/P238016,70,70,,,,,,,,,,,,,
