0	1	lu	lū	PART	PART	_	0	ROOT	_	_
1	2	x	x	X	X	_	_	_	_	_
2	3	x	x	X	X	_	_	_	_	_
3	4	x	x	X	X	_	_	_	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	x	x	X	X	_	_	_	_	_
7	8	x	x	X	X	_	_	_	_	_
8	9	a-na	ana	ADP	PRP	_	10	case	_	_
9	10	{URU}x	{uru}x	PROPN	SN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
10	11	x	x	X	X	_	_	_	_	_
11	12	x	x	X	X	_	_	_	_	_
12	13	x	x	X	X	_	_	_	_	_
13	14	x	x	X	X	_	_	_	_	_
14	15	x	x	X	X	_	_	_	_	_
15	16	a-na	ana	ADP	ADP	_	17	case	_	_
16	17	{1}aš-šur-PAB-AŠ	{1}aš-šur-pab-aš	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
17	18	LUGAL	lugal	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	17	appos	_	_
18	19	KUR-aš-šur	kur-aš-šur	PROPN	GN	Case=Gen|Gender=Fem|Number=Sing	18	nmod	_	_
19	20	x	x	X	X	_	_	_	_	_
20	21	x	x	X	X	_	_	_	_	_
21	22	šum-ma	šumma	SCONJ	SCONJ	_	_	_	_	_
22	23	{LU₂}x	{lu₂}x	NOUN	X	_	_	_	_	_
23	24	x	x	X	X	_	_	_	_	_
24	25	x	x	X	X	_	_	_	_	_
25	26	x	x	X	X	_	_	_	_	_
26	27	x	x	X	X	_	_	_	_	_
27	28	x	x	X	X	_	_	_	_	_
28	29	iz-za-zu-u-ni	iz-za-zu-u-ni	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|SubSuff=Yes|Subordinative=Yes|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
29	30	x	x	X	X	_	_	_	_	_
30	31	x	x	X	X	_	_	_	_	_
31	32	x	x	X	X	_	_	_	_	_
32	33	x	x	X	X	_	_	_	_	_
33	34	x	x	X	X	_	_	_	_	_
34	35	NUMUN-šu₂	numun-šu₂	NOUN	NOUN	Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	_	_	_	_
35	36	u₃	u	CONJ	CNJ	_	37	cc	_	_
